施設,年月日,時刻,人数
兼六園,2025/9/9,20,0
兼六園,2025/9/9,21,0
兼六園,2025/9/9,22,0
兼六園,2025/9/9,23,0
金沢城公園,2025/9/1,0,0
金沢城公園,2025/9/1,1,0
金沢城公園,2025/9/1,2,0
金沢城公園,2025/9/1,3,0
金沢城公園,2025/9/1,4,0
金沢城公園,2025/9/1,5,0
金沢城公園,2025/9/1,6,0
金沢城公園,2025/9/1,7,0
金沢城公園,2025/9/1,8,0
金沢城公園,2025/9/1,9,0
金沢城公園,2025/9/1,10,0
金沢城公園,2025/9/1,11,0
金沢城公園,2025/9/1,12,0
金沢城公園,2025/9/1,13,0
金沢城公園,2025/9/1,14,0
金沢城公園,2025/9/1,15,0
金沢城公園,2025/9/1,16,0
金沢城公園,2025/9/1,17,0
金沢城公園,2025/9/1,18,0
金沢城公園,2025/9/1,19,0
金沢城公園,2025/9/1,20,0
金沢城公園,2025/9/1,21,0
金沢城公園,2025/9/1,22,0
金沢城公園,2025/9/1,23,0
金沢城公園,2025/9/2,0,0
金沢城公園,2025/9/2,1,0
金沢城公園,2025/9/2,2,0
金沢城公園,2025/9/2,3,0
金沢城公園,2025/9/2,4,0
金沢城公園,2025/9/2,5,0
金沢城公園,2025/9/2,6,0
金沢城公園,2025/9/2,7,0
金沢城公園,2025/9/2,8,0
金沢城公園,2025/9/2,9,0
金沢城公園,2025/9/2,10,0
金沢城公園,2025/9/2,11,22
金沢城公園,2025/9/2,12,25
金沢城公園,2025/9/2,13,27
金沢城公園,2025/9/2,14,25
金沢城公園,2025/9/2,15,17
金沢城公園,2025/9/2,16,16
金沢城公園,2025/9/2,17,11
金沢城公園,2025/9/2,18,6
金沢城公園,2025/9/2,19,7
金沢城公園,2025/9/2,20,4
金沢城公園,2025/9/2,21,1
金沢城公園,2025/9/2,22,1
金沢城公園,2025/9/2,23,1
金沢城公園,2025/9/3,0,0
金沢城公園,2025/9/3,1,0
金沢城公園,2025/9/3,2,0
金沢城公園,2025/9/3,3,0
金沢城公園,2025/9/3,4,1
金沢城公園,2025/9/3,5,3
金沢城公園,2025/9/3,6,3
金沢城公園,2025/9/3,7,7
金沢城公園,2025/9/3,8,14
金沢城公園,2025/9/3,9,21
金沢城公園,2025/9/3,10,22
金沢城公園,2025/9/3,11,25
金沢城公園,2025/9/3,12,33
金沢城公園,2025/9/3,13,34
金沢城公園,2025/9/3,14,26
金沢城公園,2025/9/3,15,22
金沢城公園,2025/9/3,16,18
金沢城公園,2025/9/3,17,9
金沢城公園,2025/9/3,18,9
金沢城公園,2025/9/3,19,6
金沢城公園,2025/9/3,20,5
金沢城公園,2025/9/3,21,3
金沢城公園,2025/9/3,22,0
金沢城公園,2025/9/3,23,2
金沢城公園,2025/9/4,0,0
金沢城公園,2025/9/4,1,0
金沢城公園,2025/9/4,2,0
金沢城公園,2025/9/4,3,0
金沢城公園,2025/9/4,4,1
金沢城公園,2025/9/4,5,2
金沢城公園,2025/9/4,6,5
金沢城公園,2025/9/4,7,9
金沢城公園,2025/9/4,8,15
金沢城公園,2025/9/4,9,24
金沢城公園,2025/9/4,10,27
金沢城公園,2025/9/4,11,21
金沢城公園,2025/9/4,12,25
金沢城公園,2025/9/4,13,28
金沢城公園,2025/9/4,14,27
金沢城公園,2025/9/4,15,23
金沢城公園,2025/9/4,16,18
金沢城公園,2025/9/4,17,10
金沢城公園,2025/9/4,18,8
金沢城公園,2025/9/4,19,7
金沢城公園,2025/9/4,20,3
金沢城公園,2025/9/4,21,2
金沢城公園,2025/9/4,22,1
金沢城公園,2025/9/4,23,1
金沢城公園,2025/9/5,0,0
金沢城公園,2025/9/5,1,0
金沢城公園,2025/9/5,2,0
金沢城公園,2025/9/5,3,0
金沢城公園,2025/9/5,4,1
金沢城公園,2025/9/5,5,2
金沢城公園,2025/9/5,6,2
金沢城公園,2025/9/5,7,7
金沢城公園,2025/9/5,8,12
金沢城公園,2025/9/5,9,25
金沢城公園,2025/9/5,10,25
金沢城公園,2025/9/5,11,25
金沢城公園,2025/9/5,12,30
金沢城公園,2025/9/5,13,32
金沢城公園,2025/9/5,14,25
金沢城公園,2025/9/5,15,23
