施設,年月日,時刻,人数
金沢城公園,2024/10/17,19,7
金沢城公園,2024/10/17,20,4
金沢城公園,2024/10/17,21,1
金沢城公園,2024/10/17,22,1
金沢城公園,2024/10/17,23,1
金沢城公園,2024/10/18,0,0
金沢城公園,2024/10/18,1,0
金沢城公園,2024/10/18,2,0
金沢城公園,2024/10/18,3,0
金沢城公園,2024/10/18,4,1
金沢城公園,2024/10/18,5,3
金沢城公園,2024/10/18,6,3
金沢城公園,2024/10/18,7,7
金沢城公園,2024/10/18,8,14
金沢城公園,2024/10/18,9,21
金沢城公園,2024/10/18,10,22
金沢城公園,2024/10/18,11,25
金沢城公園,2024/10/18,12,33
金沢城公園,2024/10/18,13,34
金沢城公園,2024/10/18,14,26
金沢城公園,2024/10/18,15,22
金沢城公園,2024/10/18,16,18
金沢城公園,2024/10/18,17,9
金沢城公園,2024/10/18,18,9
金沢城公園,2024/10/18,19,6
金沢城公園,2024/10/18,20,5
金沢城公園,2024/10/18,21,3
金沢城公園,2024/10/18,22,0
金沢城公園,2024/10/18,23,2
金沢城公園,2024/10/19,0,0
金沢城公園,2024/10/19,1,0
金沢城公園,2024/10/19,2,0
金沢城公園,2024/10/19,3,0
金沢城公園,2024/10/19,4,1
金沢城公園,2024/10/19,5,2
金沢城公園,2024/10/19,6,5
金沢城公園,2024/10/19,7,9
金沢城公園,2024/10/19,8,15
金沢城公園,2024/10/19,9,24
金沢城公園,2024/10/19,10,27
金沢城公園,2024/10/19,11,21
金沢城公園,2024/10/19,12,25
金沢城公園,2024/10/19,13,28
金沢城公園,2024/10/19,14,27
金沢城公園,2024/10/19,15,23
金沢城公園,2024/10/19,16,18
金沢城公園,2024/10/19,17,10
金沢城公園,2024/10/19,18,8
金沢城公園,2024/10/19,19,7
金沢城公園,2024/10/19,20,3
金沢城公園,2024/10/19,21,2
金沢城公園,2024/10/19,22,1
金沢城公園,2024/10/19,23,1
金沢城公園,2024/10/20,0,0
金沢城公園,2024/10/20,1,0
金沢城公園,2024/10/20,2,0
金沢城公園,2024/10/20,3,0
金沢城公園,2024/10/20,4,1
金沢城公園,2024/10/20,5,2
金沢城公園,2024/10/20,6,2
金沢城公園,2024/10/20,7,7
金沢城公園,2024/10/20,8,12
金沢城公園,2024/10/20,9,25
金沢城公園,2024/10/20,10,25
金沢城公園,2024/10/20,11,25
金沢城公園,2024/10/20,12,30
